Number,Query_Type,Query
74,describe location,"What's at these coordinates: 1.2839, 103.8607?"
75,describe location,"I'm somewhere around 52.5200, 13.4050 — what is this area known for?"
76,describe location,"Identify this location for me: 43.6532, -79.3832."
77,describe location,"Where exactly does 28.6139, 77.2090 correspond to?"
78,describe location,"My current position is 59.3293, 18.0686 — what neighborhood is this?"
79,describe location,"Tell me what's nearby at 39.9042, 116.4074."
80,describe location,"What landmark or area is at 48.2082, 16.3738?"
81,describe location,"I'm at latitude -34.6037, longitude -58.3816 — where am I?"
82,describe location,"Describe this place: 13.7563, 100.5018."
83,describe location,"What region is 45.4642, 9.1900 in?"
84,describe location,"My coordinates right now are 6.5244, 3.3792 — what's around me?"
85,describe location,"Can you identify the area at 60.1699, 24.9384?"
86,describe location,"Give me context on this location: -1.2921, 36.8219."
87,describe location,"What's the neighborhood at 29.7604, -95.3698?"
88,describe location,"I'm standing at 50.0755, 14.4378 — what's this place called?"
89,describe location,"Tell me about where I am: 31.2304, 121.4737."
90,describe location,"What's at coordinates 41.0082, 28.9784?"
91,get satellite image,Can I get a satellite view of the Amazon Rainforest?
92,get satellite image,Show me a satellite image of Manhattan.
93,get satellite image,I'd like to see an aerial photo of the Pyramids of Giza.
94,get satellite image,Pull up satellite imagery for Dubai's Palm Jumeirah.
95,get satellite image,Get me a bird's-eye view of Yellowstone National Park.
96,get satellite image,"Show a satellite picture of my neighborhood in Portland, Oregon."
97,get satellite image,Can you display a satellite image of the Great Barrier Reef?
98,get satellite image,I need an aerial view of the Grand Canyon.
99,get satellite image,Show me from space what the Sahara Desert looks like.
100,get satellite image,Get a satellite shot of Tokyo Bay.
101,get satellite image,Pull up an overhead image of Central Park.
102,get satellite image,Can I see a satellite view of Mount Everest?
103,get satellite image,Show me the current satellite imagery of Hurricane-prone areas in Florida.
104,get satellite image,I want a satellite photo of the Nile River delta.
105,get satellite image,Display a top-down view of the Golden Gate Bridge.
106,get satellite image,Get me satellite imagery of the Antarctic ice shelf.
107,get satellite image,Show a satellite view of Silicon Valley.
108,get satellite image,Can you pull up an aerial image of the Panama Canal?
109,get satellite image,I'd like to see the satellite view of Venice's canals.
110,get satellite image,Show me a space-based image of the Sydney Harbour.
111,get satellite image,Get an overhead shot of the Las Vegas Strip.
112,get satellite image,Can I view a satellite picture of Chernobyl's exclusion zone?
113,get satellite image,Show a bird's-eye image of the Serengeti plains.
114,get satellite image,I need a satellite view of my farm near Iowa City.
115,get satellite image,Pull up imagery from space of the Hoover Dam.
116,get satellite image,Show me what Singapore looks like from a satellite.
117,get satellite image,Get an aerial photo of Mount Fuji.
118,get satellite image,Can you show a satellite image of the Bermuda Triangle area?
119,get satellite image,I want to see a top-down view of Central London.
120,get satellite image,Display satellite imagery of the Great Wall of China near Badaling.
121,get ground image,Show me some photos taken at the Eiffel Tower.
122,get ground image,Can I see pictures people have taken inside the Sistine Chapel?
123,get ground image,Pull up some street-level photos of Times Square at night.
124,get ground image,I want to see what the entrance to Machu Picchu looks like in real photos.
125,get ground image,Show me photos taken from the top of the Empire State Building.
126,get ground image,Can you find images captured at Santorini's Oia village?
127,get ground image,I'd like to see real photos of the inside of the Louvre.
128,get ground image,Show me pictures taken along the Great Wall of China at Mutianyu.
129,get ground image,"Pull up some photos from Bondi Beach, Australia."
130,get ground image,Can I see what the streets of Marrakech's medina actually look like?
131,get ground image,Show me tourist photos of the Trevi Fountain.
132,get ground image,I want pictures taken at the base camp of Mount Everest.
133,get ground image,Find some photos snapped inside Tokyo's Shibuya Station.
134,get ground image,Show me real images of the Northern Lights taken in Reykjavik.
135,get ground image,"Can you pull up photos from the streets of Havana, Cuba?"
136,get ground image,I'd like to see pictures taken at the Taj Mahal at sunrise.
137,get ground image,Show me photos captured inside the Sagrada Familia.
138,get ground image,Find images taken by visitors at Angkor Wat.
139,get ground image,Can I see street photos from La Rambla in Barcelona?
140,get ground image,Show me pictures taken at Niagara Falls from the viewing deck.
141,get ground image,I want photos from inside the Blue Mosque in Istanbul.
142,get ground image,Pull up some images taken at Victoria Falls.
143,get ground image,Show me what Bourbon Street in New Orleans looks like in photos.
144,get ground image,Can you find pictures snapped at the summit of Table Mountain?
145,get ground image,"I'd like to see photos taken at the entrance of Petra, Jordan."
146,get ground image,Show me images from the platforms of Shinjuku Station.
147,get ground image,Find photos taken at the Cliffs of Moher.
148,get ground image,Can I see real pictures of the crowds at La Sagrada Familia?
149,get ground image,Show me photos captured on the streets of Kyoto's Gion district.
150,get ground image,I want to see images taken at the summit of Kilimanjaro.
